CROP_TYPE,SOIL_TYPE,REGION,Humidity,soilmiosture,Temperature,WEATHER_CONDITION,WATER_REQUIREMENT
BANANA,DRY,DESERT,82.00274423,377,29.1,NORMAL,8.75
BANANA,DRY,DESERT,80.31964408,379,29.08,SUNNY,10.25
BANANA,DRY,DESERT,82.3207629,376,29.06,WINDY,9.65
BANANA,DRY,DESERT,80.15836264,377,29.05,RAINY,0.75
BANANA,DRY,DESERT,81.60487287,379,29.03,NORMAL,9.85
BANANA,DRY,DESERT,83.37011772,376,29.02,SUNNY,11.35
BANANA,DRY,DESERT,82.63941394,380,29,WINDY,10.75
BANANA,DRY,DESERT,82.89408619,380,28.99,RAINY,0.85
BANANA,DRY,DESERT,83.5352163,380,28.97,NORMAL,10.75
BANANA,DRY,DESERT,83.03322691,379,28.96,SUNNY,12.25
BANANA,DRY,DESERT,81.41753846,379,28.95,WINDY,11.65
BANANA,DRY,DESERT,81.45061596,378,28.94,RAINY,2.75
BANANA,DRY,DESERT,80.88684822,379,28.92,NORMAL,11.75
BANANA,DRY,DESERT,82.05687182,382,28.91,SUNNY,13.25
BANANA,DRY,DESERT,80.66385045,380,28.9,WINDY,12.65
BANANA,DRY,DESERT,80.30025587,379,28.89,RAINY,3.75
BANANA,DRY,SEMI ARID,82.7883708,381,28.88,NORMAL,7.98
BANANA,DRY,SEMI ARID,80.41817957,376,28.87,SUNNY,9.4
BANANA,DRY,SEMI ARID,80.1923008,377,28.86,WINDY,8.8
BANANA,DRY,SEMI ARID,83.58760316,381,28.85,RAINY,0.25
BANANA,DRY,SEMI ARID,80.47476396,380,28.83,NORMAL,8.98
BANANA,DRY,SEMI ARID,83.11713476,381,28.82,SUNNY,10.4
BANANA,DRY,SEMI ARID,80.97384195,384,28.81,WINDY,9.7
BANANA,DRY,SEMI ARID,82.67839517,383,28.8,RAINY,0.98
BANANA,DRY,SEMI ARID,81.33265073,385,28.79,NORMAL,9.98
BANANA,DRY,SEMI ARID,80.52389148,383,28.79,SUNNY,11.4
BANANA,DRY,SEMI ARID,84.04403589,382,28.78,WINDY,10.8
BANANA,DRY,SEMI ARID,80.54498576,383,28.77,RAINY,1.98
BANANA,DRY,SEMI ARID,84.49774397,382,28.77,NORMAL,10.9
BANANA,DRY,SEMI ARID,80.64416466,381,28.76,SUNNY,12.4
BANANA,DRY,SEMI ARID,84.94375962,382,28.75,WINDY,11.8
BANANA,DRY,SEMI ARID,80.33127223,380,28.75,RAINY,2.7
BANANA,DRY,SEMI HUMID,82.73685569,383,28.74,NORMAL,6.95
BANANA,DRY,SEMI HUMID,81.63895217,389,28.74,SUNNY,8.45
BANANA,DRY,SEMI HUMID,83.88266234,320,28.73,WINDY,7.8
BANANA,DRY,SEMI HUMID,82.1480873,284,28.73,RAINY,0.1
BANANA,DRY,SEMI HUMID,81.17734011,250,28.82,NORMAL,7.95
BANANA,DRY,SEMI HUMID,83.15250801,205,29.08,SUNNY,9.45
BANANA,DRY,SEMI HUMID,82.95221726,188,29.4,WINDY,8.8
BANANA,DRY,SEMI HUMID,83.7287574,183,29.7,RAINY,0.5
BANANA,DRY,SEMI HUMID,82.06719137,181,29.92,NORMAL,8.95
BANANA,DRY,SEMI HUMID,83.52842314,180,30.09,SUNNY,10.45
BANANA,DRY,SEMI HUMID,80.14509262,180,30.21,WINDY,9.9
BANANA,DRY,SEMI HUMID,84.81360127,179,30.3,RAINY,0.95
BANANA,DRY,SEMI HUMID,82.36698992,177,30.36,NORMAL,9.9
BANANA,DRY,SEMI HUMID,80.52586088,178,30.4,SUNNY,11.4
BANANA,DRY,SEMI HUMID,84.47963372,177,30.42,WINDY,10.9
BANANA,DRY,SEMI HUMID,84.59201843,177,30.43,RAINY,1.9
BANANA,DRY,HUMID,80.70960551,176,30.43,NORMAL,5.65
BANANA,DRY,HUMID,80.41363018,178,30.43,SUNNY,7.15
BANANA,DRY,HUMID,83.06310136,176,30.41,WINDY,6.6
BANANA,DRY,HUMID,80.3477562,177,30.39,RAINY,0.1
BANANA,DRY,HUMID,82.22572988,177,30.37,NORMAL,6.6
BANANA,DRY,HUMID,81.89918197,176,30.34,SUNNY,8.1
